title,release_date,type,
On Pointe,18-Dec-20,TV show,Disney
Soul,25-Dec-20,Movie,Pixar
SparkShorts episode - Burrow,25-Dec-20,TV show,Pixar
Hawkeye,2021,TV show,Marvel
Ms. Marvel,2021,TV show,Marvel
Big Shot,2021,TV show,Disney
The Mysterious Benedict Society,2021,TV show,Disney
Animated take on Night at the Museum,2021,Movie,Disney
Kardashian content,2021,TV show,Hulu
Star Wars: The Bad Batch,2021,TV show,Lucasfilm
Star Wars: Visions,2021,TV show,Lucasfilm
Pixar Popcorn,Jan-21,TV show,Pixar
WandaVision,15-Jan-21,TV show,Marvel
Flora & Ulysses,19-Feb-21,Movie,Disney
The Falcon and the Winter Solider,March 19 2021,TV show,Marvel
The Mighty Ducks: Game Changers,"26 March, 2021",Movie,Disney
Big Shot,"17 April, 2021",TV show,Disney
Raya and the Last Dragon,"7 June, 2021",Movie,Disney
Loki,"9 June, 2021",TV show,Marvel
Zenimation (Season 2),"11 June, 2021",TV show,Disney
Monsters At Work,"7 July, 2021",TV show,Pixar
"The Good, The Bart, and The Loki","7 July, 2021",Movie,Hulu
Black Widow,"9 July, 2021",Movie,Marvel
Shark Beach with Chris Hemsworth,"9 July, 2021",Movie,National Geographic
Orca Vs Great White,"9 July, 2021",Movie,National Geographic
"McCartney 3,2,1","16 July, 2021",Movie,Hulu
Turner and Hooch,"21 July, 2021",TV show,Disney
Jungle Cruise,"30 July, 2021",Movie,Disney
Marvel Studios Legends,"4 August, 2021",TV show,Marvel
Short Circuit (Season 2),"4 August, 2021",TV show,Disney
Disney Junior Fancy Nancy,"4 August, 2021",TV show,Disney
America’s Funniest Home Videos: Animal Edition (Season 1),"4 August, 2021",TV show,National Geographic
Cesar Millan: Better Human Better Dog,"4 August, 2021",TV show,National Geographic
Beverly Hills Chihuahua 2,"6 August, 2021",Movie,Disney
Beverly Hills Chihuahua 3,"6 August, 2021",Movie,Disney
Mrs. Doubtfire,"6 August, 2021",Movie,Disney
What If...?,"11 August, 2021",TV show,Marvel
Goofy’s “How To Stay At Home” Shorts,"11 August, 2021",TV show,Marvel
Breaking Bobby Bones,"11 August, 2021",TV show,National Geographic
Gabby Duran & The Unsittables,"11 August, 2021",TV show,Disney
The Chicken Squad (Season 1),"11 August, 2021",TV show,Disney
Aquamarine,"13 August, 2021",Movie,Hulu
Diary Of A Future President (Season 2),"18 August, 2021",TV show,Disney
Growing Up Animal,"18 August, 2021",TV show,National Geographic
The Owl House (Season 2),"18 August, 2021",TV show,Disney
"Dr. Oakley, Yukon Vet (Season 9)","18 August, 2021",TV show,National Geographic
Eragon,"20 August, 2021",Movie,Disney
Dr. K’s Exotic Animal ER (Season 9),"25 August, 2021",TV show,National Geographic
Gigantosaurus (Season 2),"25 August, 2021",TV show,Disney
Wicked Tuna (Season 10),"25 August, 2021",TV show,National Geographic
Cruella,"27 August, 2021",Movie,Disney
Disney Princess Remixed – An Ultimate Princess Celebration,"27 August, 2021",Movie,Disney
Underdog,"27 August, 2021",Movie,Disney
Dan in Real Life,"27 August, 2021",Movie,Disney
Vacation Friends,"27 August, 2021",Movie,Hulu
Only Murders in the Building,"31 August, 2021",TV show,Hulu
Dug Days (Season 1),"1 September, 2021",TV show,Pixar
Marvel Studios Legends,"1 September, 2021",Movie,Marvel
Alaska Animal Rescue (Season 2),"1 September, 2021",TV show,National Geographic
Growing Up Animal,"2 September, 2021",TV show,National Geographic
Billie Eilish: Happier Than Ever concert,"3 September, 2021",Movie,Disney
Tomorrowland,"3 September, 2021",Movie,Disney
Smoky Mountain Park Rangers,"3 September, 2021",TV show,National Geographic
X-Men: Dark Phoenix,"3 September, 2021",Movie,Marvel
"Doogie Kamealoha, M.D.","8 September, 2021",TV show,Disney
The Wizard of Paws,"8 September, 2021",TV show,National Geographic
The Incredible Dr. Pol (Season 19),"8 September, 2021",TV show,National Geographic
Pepper Ann,"8 September, 2021",TV show,Disney
"Mira, Royal Detective (Season 2)","8 September, 2021",TV show,Disney
SparkShorts: Twenty Something,"10 September, 2021",Movie,Pixar
Far Away From Raven’s Home,"10 September, 2021",TV show,Disney
Pirates of the Caribbean: On Stranger Tides,"10 September, 2021",Movie,Disney
Ready For Preschool (Season 2),"15 September, 2021",TV show,Disney
Life Below Zero: Next Generation (Season 16),"15 September, 2021",TV show,National Geographic
Miraculous Tales of Ladybug & Cat Noir (Season 4),"15 September, 2021",TV show,Disney
Unknown Waters with Jeremy Wade (Season 1),"15 September, 2021",TV show,National Geographic
SparkShorts: Nona,"17 September, 2021",Movie,Pixar
Confessions of a Shopaholic,"17 September, 2021",Movie,Disney
Descendants: The Royal Wedding,"17 September, 2021",Movie,Disney
Broadway Hits At London’s Royal Albert Hall,"17 September, 2021",Movie,Disney
Flooded Tombs Of The Nile,"17 September, 2021",Movie,National Geographic
Jade Eyed Leopard,"17 September, 2021",Movie,National Geographic
Star Wars: Visions,"22 September, 2021",Movie,Lucasfilm
Dog: Impossible (Season 2),"22 September, 2021",TV show,National Geographic
Spidey And His Amazing Friends (Season 1),"22 September, 2021",TV show,Marvel
A Spark Story,"24 September, 2021",Movie,Pixar
Spooky Buddie,"24 September, 2021",Movie,Disney
The Fault in Our Stars,"24 September, 2021",Movie,Disney
Magic Bake-Off,"29 September, 2021",TV show,Disney
Muppet Babies (Season 3),"29 September, 2021",TV show,Disney
Vampirina (Season 3),"29 September, 2021",TV show,Disney
Great Barrier Reef,"29 September, 2021",TV show,National Geographic
The Hatcher Family Dairy,"29 September, 2021",TV show,National Geographic
Rolie Polie Olie (Seasons 1-5),"29 September, 2021",TV show,Disney
Willow,2022,TV show,Lucasfilm
Baymax!,2022,TV show,Disney
Zootopia+,2022,TV show,Disney
Iwaju,2022,TV show,Disney
Cars series,2022,TV show,Pixar
Star Wars: Andor,2022,TV show,Lucasfilm
Ice Age Adventures of Buck Wild,2022,Movie,Disney
Chip ‘n Dale Rescue Rangers,2022,Movie,Disney
Three Men and a Baby,2022,Movie,Disney
Cheaper by the Dozen,2022,Movie,Disney
Guardians of the Galaxy Holiday Special,2022,TV show,Marvel
Tiana,2023,TV show,Disney
Moana show,2023,TV show,Disney
Win or Lose,2023,TV show,Pixar
Welcome to Earth,TBA,TV show,National Geographic
Limitless,TBA,TV show,National Geographic
Cousteau,TBA,Movie,National Geographic
Secrets of the Whales,TBA,TV show,National Geographic
A Real Bug’s Life,TBA,TV show,National Geographic
America The Beautiful,TBA,TV show,National Geographic
Disenchanted,TBA,Movie,Disney
Pinocchio,TBA,Movie,Disney
Peter Pan and Wendy,TBA,Movie,Disney
Only Murders in the Building,TBA,TV show,Hulu/Star
The Dropout,TBA,TV show,Hulu/Star
Dopesick,TBA,TV show,Hulu/Star
Nine Perfect Strangers,TBA,TV show,Hulu
Hocus Pocus 2,TBA,Movie,Disney
new Sister Act movie,TBA,Movie,Disney
Greek Freak,TBA,Movie,Disney
The Keanon Lowe project,TBA,Movie,Disney
The Chris Paul project,TBA,Movie,Disney
"Genius: Martin Luther King, Jr.",TBA,TV show,National Geographic
Beauty and the Beast prequel,TBA,Movie,Disney
Swiss Family Robinson,TBA,Movie,Disney
Percy Jackson and the Olympians,TBA,Movie,Disney
Moon Knight,TBA,TV show,Marvel
She-Hulk,TBA,TV show,Marvel
Ironheart,TBA,TV show,Marvel
Obi-Wan Kenobi,TBA,TV show,Lucasfilm
I Am Groot,TBA,TV show,Marvel
Rangers of the New Republic,TBA,TV show,Lucasfilm
The Acolyte,TBA,TV show,Lucasfilm
A Droid Story,TBA,TV show,Lucasfilm
Star Wars: Lando,TBA,TV show,Lucasfilm
